"id";"cpu_percent";"ram_percent";"disk_percent";"download";"upload";"temp_celsius";"swap_percent";"tasks";"clock";"dataHora"
107;"7.8";"50.0";"48.4";"34.4";"14.6";"46.2";"65.8";"228.0";"3914.0";"2020-10-16 14:50:12"
108;"16.9";"50.0";"48.4";"32.0";"14.6";"46.2";"65.8";"228.0";"3924.0";"2020-10-16 14:50:17"
109;"10.0";"50.0";"48.4";"26.6";"14.2";"45.8";"65.8";"226.8";"3934.0";"2020-10-16 14:50:22"
110;"32.4";"49.9";"48.4";"30.8";"12.0";"46.2";"65.8";"224.6";"3904.0";"2020-10-16 14:50:27"
111;"24.3";"50.1";"48.4";"31.0";"12.2";"50.0";"65.9";"224.0";"3909.0";"2020-10-16 14:50:32"
112;"14.1";"50.1";"48.4";"40.0";"15.4";"46.8";"65.9";"224.0";"3914.0";"2020-10-16 14:50:37"
113;"15.6";"50.1";"48.4";"47.8";"14.4";"47.2";"65.7";"224.0";"3904.0";"2020-10-16 14:50:42"
114;"17.3";"50.1";"48.4";"35.4";"15.6";"46.6";"65.7";"224.0";"3753.8";"2020-10-16 14:50:48"
115;"15.5";"50.1";"48.4";"47.4";"14.4";"46.0";"65.8";"223.6";"3904.0";"2020-10-16 14:50:53"
116;"20.2";"50.1";"48.4";"59.8";"14.2";"48.2";"65.8";"224.2";"3914.0";"2020-10-16 14:50:58"
117;"11.3";"50.2";"48.4";"43.0";"17.4";"46.6";"65.9";"227.0";"3919.0";"2020-10-16 14:51:03"
118;"9.0";"50.2";"48.4";"57.6";"15.4";"45.6";"65.9";"227.0";"3914.0";"2020-10-16 14:51:08"
119;"9.4";"50.1";"48.4";"48.4";"12.0";"45.2";"65.8";"227.0";"3909.0";"2020-10-16 14:51:13"
120;"9.8";"50.1";"48.4";"43.4";"12.8";"46.4";"65.8";"227.0";"3904.0";"2020-10-16 14:51:18"
121;"9.8";"50.1";"48.4";"51.2";"13.2";"44.8";"65.8";"226.2";"3929.0";"2020-10-16 14:51:23"
122;"11.1";"50.0";"48.4";"46.0";"13.4";"45.0";"65.7";"224.4";"3919.0";"2020-10-16 14:51:28"
123;"11.5";"50.2";"48.4";"32.2";"16.2";"45.2";"66.0";"226.0";"3904.0";"2020-10-16 14:51:34"
124;"10.4";"50.2";"48.4";"30.2";"15.4";"45.4";"66.0";"225.6";"3914.0";"2020-10-16 14:51:39"
125;"8.9";"50.1";"48.4";"39.0";"13.4";"45.8";"65.9";"225.0";"3919.0";"2020-10-16 14:51:44"
126;"10.8";"50.0";"48.4";"46.8";"13.0";"45.0";"65.7";"223.0";"3914.0";"2020-10-16 14:51:49"
127;"10.1";"49.9";"48.4";"48.8";"11.8";"45.4";"65.6";"221.8";"3919.0";"2020-10-16 14:51:54"
128;"23.1";"49.9";"48.4";"42.6";"12.0";"48.4";"65.7";"224.6";"3914.0";"2020-10-16 14:51:59"
129;"7.4";"50.0";"48.4";"32.2";"14.6";"45.8";"65.8";"226.0";"3909.0";"2020-10-16 14:52:04"
130;"8.7";"50.0";"48.4";"56.6";"12.8";"45.0";"65.8";"226.0";"3919.0";"2020-10-16 14:52:09"
131;"10.6";"50.0";"48.4";"45.2";"12.8";"44.2";"65.8";"226.0";"3909.0";"2020-10-16 14:52:15"
132;"12.2";"50.1";"48.4";"49.6";"12.2";"46.4";"65.8";"226.0";"3909.0";"2020-10-16 14:52:20"
